song_id,artist_id
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,4
16,4
17,4
18,4
19,4
20,4
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
96,6
97,6
98,91
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,7
111,8
112,8
113,8
114,8
115,8
116,8
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,8
126,8
127,8
127,2104
128,8
129,8
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,2174
138,480
139,1337
140,1337
141,1337
142,11
143,12
144,12
145,1678
145,304
146,1678
146,304
147,14
149,15
150,15
151,15
152,15
153,15
154,15
155,5456
156,17
157,18
158,19
159,20
160,21
161,22
162,22
163,22
164,22
165,22
166,22
167,22
168,23
169,24
169,4761
170,2196
170,2689
171,26
172,27
173,2057
174,2057
175,29
176,511
177,31
178,31
179,31
180,32
181,33
182,33
182,1680
183,33
183,1680
184,35
185,5258
186,35
187,35
188,4892
189,36
190,36
191,36
192,36
193,36
194,36
195,36
195,1664
196,38
197,38
198,38
199,38
200,38
201,38
202,38
203,38
204,38
205,38
206,38
207,38
208,38
209,38
210,38
211,38
212,38
213,38
214,38
215,38
216,38
217,38
218,38
219,38
220,38
221,38
222,38
223,38
224,38
225,38
226,38
227,38
228,38
229,38
230,38
231,38
232,38
233,38
234,38
235,38
236,38
237,3094
238,40
239,40
241,41
242,42
243,1826
244,43
245,43
246,43
247,1612
248,43
249,1612
250,1612
251,1612
252,1612
253,44
254,44
255,45
256,45
257,46
258,46
259,46
260,46
261,46
262,46
263,46
264,46
265,46
266,46
267,46
268,46
269,46
270,46
271,47
272,48
273,48
274,766
275,766
276,50
277,50
278,50
279,50
280,50
281,50
282,50
283,50
284,50
285,50
286,50
287,50
288,50
289,50
290,50
291,50
292,51
293,51
294,52
295,52
295,2054
296,54
297,54
298,4540
299,1284
300,4540
301,4540
302,1235
303,4540
304,2650
305,4540
306,2650
307,1235
308,4540
309,2650
310,2650
311,56
312,57
313,58
314,59
315,60
316,60
317,60
318,60
319,60
320,60
321,60
322,60
323,60
324,61
325,62
326,63
327,64
328,2244
329,2244
330,2244
331,2244
332,5170
333,1284
334,5170
335,5170
336,5170
337,5170
338,5170
339,5066
340,68
341,68
342,68
343,68
344,68
345,68
346,68
347,68
348,68
349,68
350,68
351,68
352,68
353,68
354,68
355,68
356,68
357,1313
358,1313
359,1313
360,1313
361,1313
362,1313
363,1313
364,1313
365,1313
366,1313
367,1313
368,1313
369,1313
370,1313
371,1313
372,1313
373,1313
374,1313
375,1313
376,1313
377,1313
378,70
379,71
380,71
381,71
382,71
383,71
384,71
385,71
386,71
387,71
388,72
389,72
390,72
391,72
392,72
393,72
394,72
395,72
396,72
397,73
398,73
399,74
400,75
401,75
403,75
404,75
405,75
406,75
407,75
408,75
409,75
410,75
411,75
412,75
413,75
414,75
415,75
416,75
417,75
418,75
419,75
420,75
421,75
422,75
423,75
424,75
425,75
426,75
427,75
427,5197
428,75
429,75
430,75
431,75
432,378
433,75
434,75
435,75
436,75
437,75
438,75
439,75
440,75
441,75
442,75
443,75
444,75
445,75
446,75
447,75
448,75
449,75
450,75
451,75
452,75
453,75
454,75
455,75
456,75
457,76
458,76
459,76
460,76
461,76
462,76
463,76
463,715
464,76
465,76
466,76
467,76
468,76
469,76
470,76
471,76
472,77
473,78
474,79
475,79
476,80
477,80
478,80
479,80
480,80
481,80
482,80
483,80
484,80
485,80
486,80
487,80
488,80
489,80
490,80
490,566
491,80
492,80
492,1162
493,80
494,80
495,4931
495,80
495,4485
496,80
497,80
498,80
499,80
500,80
501,80
502,80
503,80
504,80
505,80
506,80
507,80
507,566
508,80
509,80
510,80
511,80
512,80
513,80
514,81
514,4038
515,81
516,3987
517,3987
518,1632
518,1295
519,1632
519,1295
520,84
521,84
521,1297
522,86
523,87
524,88
525,89
526,89
527,89
528,89
529,89
530,89
531,91
532,91
533,91
534,91
535,91
536,92
537,92
538,93
539,93
540,93
541,93
542,93
543,93
544,93
545,93
546,93
547,93
548,93
549,94
550,94
551,94
552,95
553,95
554,95
555,95
556,95
556,173
557,95
558,95
559,95
560,95
561,95
562,95
563,95
564,95
