name,deleted,hidden_profile,artist_id,country,location,info_line,member_since,upload_count,vote_count,oneliner_count,last_login,ultimate_song_id,avatar_path
alienNeWbeat,0,0,,?,?,infoline not found,2010-01-04,0,586,4,2018-03-19,19581,/static/media/avatars/avatar_7588.gif
alincrys,0,0,,ro,,,2015-11-15,0,0,49,2015-11-15,,
alios,0,0,,de,Muenster/Germany,,2014-01-15,0,0,0,2014-11-20,,/static/media/avatars/alios_smiling_small.jpg
alitalienne,0,0,,fr,,,2011-05-26,0,1,0,2011-05-27,,
alklazema,0,0,,nl,,,2013-04-23,0,113,0,2018-04-05,,/static/media/avatars/100px-Lojban_logo.svg.png
all4n,0,0,,au,Australia,,2010-03-10,0,49,0,2014-03-03,,
allamulax,0,0,,tr,,,2010-11-12,0,1,0,2016-09-14,,
Almagore,0,0,,pl,Skierniewice,Almagore,2010-06-21,2,0,0,2010-11-09,,
ALPAidUS,0,0,5668,nectaflag,,,2017-03-15,8,25,67,2018-03-19,,
alpha,0,0,,de,,,2011-08-01,0,0,0,2011-08-01,,
AlphaC,0,0,2045,nl,Rotterdam,C-5 01 64 D04,2008-09-29,58,377,0,2014-08-11,,/static/media/avatars/rockford_80px.gif
alsoknownas1,0,0,,au,,,2013-04-03,0,0,0,2015-02-01,,
altemark,0,0,40,+46,Stockholm,"EAM, cocaine and fast chix",2009-09-14,0,15,0,2012-05-19,3384,/static/media/avatars/albumartsmall.jpg
althonos,0,0,,fr,Paris,,2016-05-19,0,1,0,2017-06-09,,
Amarok,0,0,,cz,Prague,,2014-11-24,0,0,0,2014-11-24,,/static/media/avatars/JP_avatar_wolf_2013-6b.jpg
Amayirot_Akago,0,0,,,,,2010-03-04,0,1,0,2010-03-04,,
Ambydupuis,0,0,,be,,,2011-07-29,0,22,0,2016-10-19,,
amdfx,0,0,,it,,,2011-10-06,0,1,0,2011-10-06,,
ameoba,0,0,,us,,,2013-09-21,0,1,0,2013-09-21,,
Amiga78,,,,,,,,,,,,,
amigafrancedotcom,0,0,,fr,,,2017-10-03,0,8,3,2018-01-31,,
amigaman,0,0,,de,,,2011-07-27,0,26,16,2017-11-21,,/static/media/avatars/wb12_1.jpeg
amiganostalgia,0,0,,se,,,2011-07-20,1,1,0,2011-07-28,,/static/media/avatars/me64er-logo1.jpeg
Amithrax,0,0,,fr,,,2014-08-09,0,0,0,2014-08-09,,
AmiX,0,0,,SE,,,2013-08-19,0,0,0,2013-09-03,,
Amok,0,0,2007,de,,,2009-09-28,0,10,0,2010-03-22,,
Ampli,0,0,1738,se,,,2012-05-12,0,0,74,2018-01-05,,
aMUSiC,0,0,,GR,,,2010-07-05,0,0,0,2010-07-05,,
aN00Bis,0,0,,cz,,,2014-05-26,0,2,0,2014-05-26,,
analizator,0,1,,de,,,,0,15,,2013-01-01,,
analogue,0,0,,,,,2008-11-19,0,1,0,2008-11-19,,
Analyzer,0,0,,ru,Yekaterinburg,,2013-01-08,0,333,0,2017-09-07,,
AnaMark,0,1,,,,,,0,198,,2013-01-01,,
anchor,0,0,,hu,,,2009-01-29,0,3,0,2014-11-22,,/static/media/avatars/en_piciben_small.jpg
anderaiso,0,0,,fr,Paris,,2010-02-13,2,188,0,2013-02-10,,
AndersArrenius,0,0,46,se,Knivsta,,2010-06-24,5,53,0,2014-12-04,,
anderscarling,0,0,,se,,,2017-01-06,0,0,0,2017-01-06,,
andersh,0,0,,se,,,2012-02-01,0,1,0,2012-02-01,,
Andersson,0,0,5429,no,-,SYS 16384,2010-01-04,5,7836,1027,2018-03-30,7285,/static/media/avatars/me.jpg
andik,0,0,,id,,,2013-01-18,0,0,0,2013-01-18,,
andiolsi,0,0,,de,,,2011-07-22,0,0,0,2011-07-22,,
Andows,0,0,,fi,,,2011-07-16,0,1,0,2011-07-16,,
andrewRF,0,0,,ca,,,2010-01-18,0,3,0,2010-01-18,5192,
Androktasie,0,0,,us,"Columbus, OH",,2010-05-04,0,48,0,2014-09-14,10103,/static/media/avatars/cdg80_.jpg
Andruid,0,0,,us,,,2012-01-31,0,0,0,2012-01-31,,
andwan0,0,0,,gb,,,2016-02-29,0,22,3,2016-04-14,,
andyabstract,0,0,5517,au,,Andy Abstract - spitting Chiptunes and Bitpops,2014-06-26,18,100,0,2015-03-29,,
andybe,0,0,,cz,Prerov,,2011-06-22,0,1,0,2012-01-29,,
AndyRCM,0,0,,gb,,Retro Computer Museum - UK,2016-06-27,0,2,1,2017-02-07,,
anerte,0,0,4369,ru,,,2010-06-08,35,243,0,2018-04-17,,
angerush,0,0,,de,,,2013-10-13,0,0,0,2013-10-13,,
animateusz,0,0,,,,,2009-03-13,0,14,0,2009-06-19,,
AnkhAngel,1,0,,,,,2009-04-20,0,117,13215,2013-01-01,,
anni,0,0,,np,Land of half christmas-trees,Lurking since Second Reality ;),2010-06-23,707,15030,2459,2018-03-13,3375,/static/media/avatars/nectawall_small2.gif
Anonymo,0,0,,us,,,2012-04-14,0,0,0,2012-04-14,,
anonymous,0,0,,,Guy Fawkes,Bonfire Knight,2010-12-16,9,8,0,2010-12-23,,/static/media/avatars/guy-fawkes_.jpg
AnonymousCoward,0,0,,pa,You don't want to know...,Protecting users reputation since 2009,2009-12-07,3,279,33,2017-12-15,16598,/static/media/avatars/php2dk3wT
ant1,0,0,,gb,,,2009-11-20,2,51,0,2010-11-30,,
antechinus,,,,,,,,,,,,,
anthony62490,0,0,,us,,Eaten by a Grue [RIP],2009-03-14,89,1361,29,2018-03-31,7925,/static/media/avatars/Virus.jpg
Antibyte,0,0,,ru,,,2010-08-14,0,3275,24,2018-04-18,10429,
antipod,0,0,,se,,,2009-03-17,0,655,0,2016-02-17,,
Antitribu,0,0,,hh,,,2010-05-10,0,63,0,2012-07-07,3949,/static/media/avatars/Mori64.jpg
AntonZab,0,0,,,,,2012-08-13,0,0,0,2012-08-13,,
Antti,0,0,,se,,,2012-11-24,0,0,0,2012-11-24,,
aoi,0,0,,pl,,,2010-08-12,0,3,0,2015-05-05,,
apocalyptiq,0,0,,pl,,,2009-03-14,26,139,10,2016-09-05,,
apprenticeoflink,0,0,,us,,,2013-02-28,0,0,0,2013-02-28,,
aptiliux,0,0,,,,,2010-09-14,0,1,0,2010-09-14,,
Aquatronic,0,0,,es,,,2011-11-09,0,0,0,2011-11-09,,
arab,0,0,1853,pl,Szczecin,,2008-09-16,55,634,4891,2018-04-14,5870,/static/media/avatars/parental-advisory-avatar.gif
arachnosoft,0,0,5294,fr,,Author of the Arachno SoundFont,2013-02-07,4,0,0,2017-08-04,2456,
arakus,0,0,,pl,,,2011-10-16,0,6,0,2018-03-24,,
Aramir,0,0,,fr,,,2015-10-30,0,17,292,2017-05-12,,
araya,0,0,,,,,2010-03-09,0,1,0,2010-03-09,,
arcaneduck,0,0,,se,,,2011-03-22,0,0,0,2011-03-22,,
archangel,0,0,60,se,Jonkoping,Swedish mod tracker,2009-04-22,0,9,0,2014-03-18,,
Archiboldian,0,0,,gr,,,2012-11-19,0,3,0,2012-11-19,,
archipos,0,0,,se,,,2009-01-22,17,54,0,2015-01-18,,
architect1,0,0,,ca,,,2010-11-18,1,26,0,2011-05-29,,
Archmage,0,0,4043,no,"Oslo, Norway",,2010-10-25,0,934,213,2018-04-05,,/static/media/avatars/14268.jpg
archonone,0,0,,us,,,2012-09-01,0,0,0,2012-09-01,,
ARCKANUM,0,1,,,,,,,,,,,
Arcnor,0,0,,es,,,2008-10-12,0,105,0,2018-02-24,,
Ardias59,0,0,,,,,2010-08-05,0,1,0,2010-08-05,,
arfink,0,0,,us,,,2010-02-03,0,43,0,2012-10-12,,
arg3ntum,0,0,,il,Rishon le-Zion,*nix freak,2010-01-08,0,38,0,2011-01-16,,
argasek,0,0,4657,pl,"Cracow, Poland",,2010-05-27,5,3,0,2015-01-20,,
argh,0,0,3927,gb,Chichester,,2012-01-10,2,0,0,2016-08-05,,
Argolyn,0,0,,de,,,2009-08-26,5,1753,4,2018-04-13,,
aricz,0,0,,no,,ken sent me,2013-04-04,48,467,3333,2018-03-19,9043,/static/media/avatars/larry1.jpg
AriZone,0,0,,pl,,,2011-06-05,0,0,0,2011-06-05,,
arj,0,0,,no,,,2008-12-05,0,68,0,2016-01-16,,
Arkholt,0,0,,us,"Harlem, GA, USA",Cartoonist,2009-10-11,0,2,1,2018-03-11,,/static/media/avatars/hal_9000.png
arklif,0,0,,fr,,,2011-12-01,0,4,0,2011-12-01,,
Arktos,0,0,5135,no,,,2009-08-05,4,987,1,2016-06-21,,
arlek,0,0,,ar,,,2017-01-27,0,0,1,2017-01-27,,
armeS,0,0,,va,,,2012-11-05,0,164,2,2018-04-07,,
Armi,0,0,,pl,,,2016-01-17,0,5,0,2017-06-16,,
ArminSeiko,0,0,4053,de,Magdeburg,dödel,2009-12-26,21,15,0,2013-03-06,,
Arne,0,0,3986,de,Timmendorfer Strand,nect(AR)i(NE),2009-11-20,82,15503,335,2018-04-19,8751,/static/media/avatars/479071_375821149154127_1164295008_o.jpg
arnie,0,0,,de,Hamburg,,2011-01-09,0,1,0,2013-06-27,,
Arpimato,0,0,,,,,2009-03-15,0,1,0,2013-05-29,,
arrakis,0,0,66,fr,Earth,Amiga&C64 rulez,2011-02-28,29,20439,73993,2018-04-12,3295,/static/media/avatars/6516necta.png
Artefact2,0,0,,fr,,,2013-03-27,0,99,31,2017-11-08,,
artem23,0,0,,ru,,,2012-11-06,0,0,0,2012-11-06,,
ArthurII,0,0,,gb,,,2013-12-07,0,5,0,2014-08-29,,
arti040,0,0,,pl,,,2011-03-14,0,2,0,2012-07-11,,
Articate,0,0,,no,,,2013-09-05,0,1,0,2013-09-05,,
artician,0,0,,hh,,,2010-08-24,0,66,79,2018-02-06,,/static/media/avatars/knight.gif
Artist_formerly_know_as_Ray,0,0,,fi,Oulu,,2010-03-21,0,3,0,2010-03-21,,
Arvenius,0,0,,de,,,2011-07-28,0,2,0,2012-06-21,,
asafm,0,0,,il,,,2011-09-02,0,0,0,2011-09-02,,
asbjornu,0,0,5379,no,Oslo,,2010-02-26,8,533,38,2017-04-19,,
asc11,0,0,,de,,,2014-07-19,0,0,0,2014-07-19,,
asddsa,0,0,,us,,,2012-07-19,0,0,0,2012-07-19,,
ashesofpain,0,0,,ro,,,2012-01-16,0,26,48,2018-03-03,,
ashtaroth,0,0,,de,,★☆☆☆☆,2010-12-19,0,11,0,2016-10-29,7937,/static/media/avatars/Unbenannt.png
asle,0,0,,fr,,,2009-12-31,18,0,0,2015-10-10,,
asrakorn,0,0,,,,,2010-01-04,0,2,0,2010-01-04,,
Astra,0,0,,uk,,Into the wonderful,2010-02-02,0,1,0,2010-07-13,,
AstralFairy,0,0,,gr,,,2015-06-25,0,0,0,2016-03-05,,
AstralFairyMarga,0,0,,,,,2013-11-02,0,0,0,2013-11-02,,
astron,0,0,,ru,,,2014-07-16,0,0,0,2014-07-16,,
atari666,0,,,pl,,,,0,8,,2018-02-21,,
Atari_Mark,0,0,,gb,,Mac Sys Data / POV,2010-07-05,0,13,0,2017-07-14,,
atom32k,0,0,,pl,Wroclaw,..wtf ?!,2008-12-11,0,2035,1576,2018-04-10,26863,/static/media/avatars/me_evil_small.png
AtomicBlom,0,0,,au,,,2013-07-18,0,0,0,2013-07-18,,
atomicity,0,0,,ie,,,2013-08-17,0,1,0,2013-08-17,,
atomicmecw,0,0,,,,,2010-09-22,0,7,0,2010-09-22,,
AtomicReindeer,0,0,,necta,,,2014-01-08,0,406,871,2018-04-20,,
Atomicskull,0,0,,us,,,2011-06-15,0,0,0,2011-06-15,,
attackfrog,0,0,,,,,2009-05-16,0,0,0,2013-01-23,,
atypic,0,0,,no,,,2010-01-25,0,1,0,2017-08-21,,
aubade,0,0,,hh,,Fear the Glasses,2009-10-10,0,4,0,2014-10-31,575,/static/media/avatars/animsun.gif
aulin,0,0,2462,no,,,2011-06-20,1,0,0,2011-07-16,,
AuMTRoN,0,0,,scotland,Edinburgh,,2011-11-25,0,0,0,2011-11-25,,
autopilot,0,0,,us,,,2011-11-03,0,0,0,2011-11-03,,
autropia,0,0,,no,,,2015-11-30,0,1,2,2015-11-30,,
AUX,0,0,,us,,,2013-07-28,0,1,0,2013-07-28,,
Avatar,0,0,,se,,,2011-03-13,0,0,0,2011-03-13,,
AvAxx,0,0,,cz,,We Shall See!,2010-12-13,0,110,2,2016-11-22,,/static/media/avatars/adrian.jpg
Avery,0,0,,jp,,megazeux owns,2010-09-12,0,11,0,2010-09-12,,
avolver,0,0,,ru,,,2015-08-15,0,23,8,2018-04-03,,
awesome,0,0,75,es,,,2010-08-03,29,0,0,2017-05-23,,
awizen,0,0,1769,se,,,2011-07-28,1,0,0,2017-12-15,,
Axel,0,0,76,ch,,,2008-09-17,1,371,324,2017-07-31,,
axelerator,,,,,,,,,,,,,
Axioplase,0,0,,us,Pittsburgh,More Maths!,2009-12-07,0,718,22,2017-06-02,8324,/static/media/avatars/q598248591_2220.jpg
AY38912,0,0,,us,,AY or DIEEEEE!,2010-07-21,3,1,0,2010-09-21,,
Ayreon,0,0,,nl,,,2012-02-03,0,1,0,2012-02-03,,
aytharn,0,0,,gb,,,2011-04-01,0,0,0,2012-04-04,,
Azur,0,0,,fr,,,2009-06-30,0,0,19,2017-10-24,,
b,0,0,,ca,,,2014-08-08,0,0,0,2014-08-08,,
B00MER,0,0,,us,Texas,I am not an atomic playboy,2015-03-25,0,6,0,2015-03-25,5861,
b0c1,0,0,,hu,,,2012-11-27,0,2,0,2012-11-27,,
b0dhi,0,0,,au,,,2009-01-25,0,2,0,2013-06-05,,
b0n,0,0,,fi,,,2012-09-18,0,5,0,2015-01-24,,
b0sc0,0,0,2333,fr,,,2012-11-08,0,0,0,2012-11-08,,
baabeli,0,0,,fi,,,2011-04-19,0,292,0,2018-02-18,,
baantjer,0,0,,nl,,,2015-02-07,0,1,0,2015-02-14,,
Bachelor,0,0,,ua,,,2009-08-12,24,75,0,2010-02-07,,
bachler,0,0,,,,,2009-06-04,0,1,0,2009-06-04,,
bachterman,0,0,,,,,2010-07-15,0,7,0,2010-07-15,,
bacter,0,0,84,il,,,2012-04-07,2,0,2,2017-04-18,,
baddeal,0,0,,ca,,,2008-12-10,0,6,0,2017-11-11,,
baginsky,0,0,,gb,,,2011-09-14,0,1,0,2011-09-14,,
bajskorve,0,0,,se,,,2014-03-29,0,0,0,2014-03-29,,
bakho,0,0,,us,,,2011-04-27,0,3,0,2011-04-27,,
ballacr75,0,0,,it,,,2013-05-16,0,0,0,2013-09-09,,
Balthasar,0,0,,us,,,2013-03-04,0,0,0,2013-03-04,,
Bam,0,0,,nectaflag,,,2017-01-20,0,0,0,2017-02-07,,
BamigaSectorOne,0,0,,be,,,2013-01-17,0,18,0,2013-01-17,,
barde,0,0,,de,,,2013-10-25,0,2,1,2017-10-13,,
barek,0,0,,no,,,2011-11-16,0,1,0,2015-04-27,,
Barnacules,0,0,,us,,,2011-11-16,0,1,0,2011-11-16,,
barog,0,0,,uk,,,2010-08-16,0,2,0,2010-08-16,,
BarZoule,0,0,3873,ca,,,2008-09-17,1,153,0,2016-03-06,,
Basch,0,0,,nl,,,2010-06-15,0,44,4,2016-03-18,,
Basil,0,0,,ru,,,2012-08-14,0,14,0,2012-08-14,,
baton,0,0,,ninja,Wrocław,,2009-11-09,0,47,0,2018-04-10,,
bauer,0,0,4740,se,Stockholm,\m/ d(Ô¿Ô)b \m/ ,2010-03-14,1,3,0,2012-09-16,,/static/media/avatars/bauair_avatar2.png
Baz,0,0,,ru,,,2012-05-16,0,0,0,2012-05-16,,
BBB,0,0,,ca,,,2009-07-03,0,730,166,2018-04-11,,
BBD,0,0,,lt,,,2014-04-01,0,2,0,2014-04-01,,
bbno,0,0,,sk,,,2015-11-17,0,0,0,2015-11-17,,
bc2001,0,0,,flag,home of the NSA,Brandon Crystal,2013-02-05,0,176,0,2016-01-22,5824,
bcguy216,0,0,,us,,,2011-07-26,0,0,0,2011-07-26,,
bd00s,0,0,,eu,,,2011-10-12,0,0,0,2011-10-12,,
BDifferent,0,0,,de,,,2009-03-14,0,0,0,2013-07-17,,
beansmyname,0,0,,USA,"Sacramento, CA, USA",,2010-11-02,0,8,0,2017-04-17,,/static/media/avatars/stan_little.jpg
Beatfox,0,0,102,us,,,2009-09-07,2,47,3,2017-04-23,,/static/media/avatars/Beatfox3-icon100.png
BeatriceCAREY30,0,0,,,,,2010-07-29,0,1,0,2010-07-29,,
BeautyNerd,0,0,,nl,Beverwijk,Buy a pie and celebrate,2009-04-11,26,1482,11,2017-12-24,,/static/media/avatars/he-man-cheer-bounce.gif
beaver_trx,0,0,,ru,,,2013-09-02,0,44,2,2017-03-20,,
beavis77,0,0,,de,,,2014-08-21,0,193,0,2014-09-03,,
beefheart,0,0,2037,no,,,2009-12-30,0,7,0,2014-02-14,,
beek,0,0,106,us,,,2010-09-06,1,0,14,2016-12-13,,
beetle,0,0,,nz,,,2011-11-16,0,10,0,2011-11-16,,
bender,0,0,,de,,,2009-05-12,0,74,12,2016-12-10,,
benfaigin,0,0,,us,,,2013-05-30,0,2,0,2014-09-16,,
benipular,0,1,,,,,,0,1,,2013-01-01,,
benishor,0,0,,ro,,,2014-12-30,0,2,0,2014-12-30,,
benoit,0,0,,fr,,,2014-12-31,0,21,0,2016-01-27,,
benserwa,0,0,,,,,2010-10-12,0,1,0,2010-10-12,,
BenV,0,0,,nl,,http://notes.benv.junerules.com/necta/,2009-09-28,0,68,0,2017-08-05,,
Bera,0,0,,358,,,2010-04-29,0,4,0,2011-08-29,,
BeRo,0,0,,de,,,2011-04-28,0,0,0,2013-08-23,,
besh,0,0,,cz,Prague,Remember Earth clearly...,2008-09-20,1,864,33,2017-10-16,,/static/media/avatars/BESH.gif
Beta,0,0,,gb,,,2013-08-17,0,0,0,2013-08-17,,
bherila,0,0,,us,,,2010-04-11,0,8,0,2011-09-11,,
bif,0,0,,us,,,2009-10-18,6,35,300,2018-01-15,,
biffa,0,0,,pirate,,,2015-03-09,0,4,0,2015-03-18,,
big_alec,0,0,114,us,"San Jose, CA",Atari ST Chiptune Nerd,2009-11-10,0,3,3,2016-05-13,,
big_bear,0,0,113,ch,,Rubber ducks!,2009-02-25,0,338,0,2018-02-12,,
bigdan,0,0,,fr,,,2011-05-28,0,2,0,2016-08-31,,
bigfoot,0,0,,,,,2010-07-06,0,5,0,2010-07-06,,
bigg,0,0,,USA,,,2009-01-26,0,2,0,2010-11-16,,
Bigman1971,0,0,,de,Forchheim/Ofr.,Amiga forever!,2010-07-13,0,1,0,2018-02-04,,/static/media/avatars/angus3_prv.jpg
bignick0,0,0,,us,,,2012-12-12,0,1,0,2013-03-11,,
bigsofty,0,0,,gb,,,2013-04-23,0,0,0,2013-04-23,,
Biit,0,0,,no,,,2017-11-03,0,0,0,2017-11-09,,
BileDemon,0,0,,de,,Hardcoder,2011-03-11,0,1,0,2011-03-11,,
BILL_WideGapes,0,0,,,,,2009-07-30,0,27,0,2010-06-05,,
billjd434,0,0,,england,,,2016-12-15,38,2,43,2018-02-10,,/static/media/avatars/billjd.jpg
Billx,0,0,,hu,,,2012-11-06,0,80,0,2013-06-03,,
billyboy,0,0,,dk,,,2011-07-05,0,0,0,2017-01-28,,
billychamberlain,0,0,,,,,2010-02-25,0,1,0,2010-02-25,,
biopharmer,0,0,,us,,,2012-03-10,0,0,12,2017-12-29,,
biotenshu,0,0,,ru,,,2012-03-17,0,0,0,2013-02-01,,
birnam,0,0,,us,,,2011-04-15,0,1,0,2012-04-14,,
bishop,0,0,,fr,,,2014-11-14,0,0,0,2014-11-14,,
bishopplt,,,,,,,,,,,,,
